ghru_id,Sample collection date,Specimen type,Isolate type,AMK,AMP,FEP,CRO,CIP,COL,GEN,IPM,MEM,TZP,SXT,species,ST,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,virulence_score,rmpA2,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,O_locus
G2UKKS20001,02/09/2024,Blood,CARBA-S,S,R,S,ND,R,S,S,S,ND,S,S,Klebsiella pneumoniae,ST101,ybt 9; ICEKp3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-28*,-,-,-,-,0,KL17,OL2α.1
G2UKKS20002,03/09/2024,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,I,R,Klebsiella pneumoniae,ST45,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1,-,-,-,-,1,-,OL2α.2
G2UKKS20003,10/09/2024,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,I,R,Klebsiella pneumoniae,ST219,ybt unknown,-,-,-,-,1,-,StrB*;StrA*;AadA2*;Aac3-IIa*;Aph3-Ia*,-,-,Qnr-S1;QnrB1?,-,MphA,CatB4,-,SulII;SulI,TetA,-,DfrA12;DfrA14,-,SHV-26*;TEM-30*,CTX-M-15,-,-,SHV-1,-,-,-,-,1,KL125 (KL114),OL5
G2UKKS20004,11/09/2024,Blood,CARBA-R,S,R,R,ND,R,S,R,I,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,TEM-55*,-,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20005,27/09/2024,Blood,CARBA-R,R,R,R,ND,R,S,I,R,R,R,R,Klebsiella pneumoniae,ST512,-,-,-,-,-,0,-,Aac6-Ib;AadA2*;Aph3-Ia*,-,-,-,-,MphA,CatA1*,-,SulI,-,-,DfrA12,-,TEM-54*,-,-,KPC-3,SHV-11,-,-,-,GyrA-83I;ParC-80I,2,KL107,OL2α.1
G2UKKS20006,28/09/2024,Blood,CARBA-R,S,R,R,ND,R,S,S,R,R,R,S,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TEM-54*,-,-,KPC-3,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20007,30/09/2024,Blood,CARBA-R,R,R,R,ND,R,S,S,R,R,R,R,Klebsiella pneumoniae,ST512,-,-,-,-,-,0,-,Aac6-Ib;AadA2,-,-,-,-,MphA,-,-,SulI,-,-,DfrA12,-,TEM-54*,-,-,KPC-3,SHV-11,-,-,-,GyrA-83I;ParC-80I,2,KL107,OL2α.1
G2UKKS20008,30/09/2024,Blood,CARBA-S,S,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST152,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-187*,-,-,-,-,1,KL149,OL4
G2UKKS20009,01/10/2024,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST423,ybt 9; ICEKp3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL8 (KL22/37),OL2α.2
G2UKKS20010,03/10/2024,Blood,CARBA-R,S,R,R,R,R,S,R,I,I,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-54*,CTX-M-15,-,KPC-2,SHV-1?,-,-,-,-,2,KL24,OL5
G2UKKS20011,04/10/2024,Blood,CARBA-S,S,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrA*;StrB;AadA2*;Aac3-IIa*;Aph3-Ia*,-,-,QnrB1?,-,MphA,CatB4,-,SulII;SulI,TetA,-,DfrA12;DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20012,06/10/2024,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST1106,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11*,-,-,-,-,0,KL122,OL2α.2
G2UKKS20013,08/10/2024,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST1106,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11*,-,-,-,-,0,KL122,OL2α.1
G2UKKS20014,08/10/2024,Blood,CARBA-R,R,R,R,R,R,S,S,R,R,R,R,Klebsiella pneumoniae,ST512,-,-,-,-,-,0,-,Aac6-Ib;AadA2*,-,-,-,-,-,-,-,SulIII;SulI,-,-,DfrA12,-,-,-,-,KPC-3,SHV-11,-,-,-,GyrA-83I;ParC-80I,2,KL107,OL2α.1
